FOREST AREA,,,,,,,,,,,
Country,2017,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065
Algeria,1430,1404.4,1365.1,1330.7,1301,1278.1,1261.7,1251.6,1246.3,1245.5,1248.8
Angola,57624,57278.9,56748.1,56288.9,55901,55505.5,55102.9,54693.3,54452.8,54383.3,54485
Benin,4220,4082.3,3864.8,3662.5,3474.5,3301.4,3142.5,2997.1,2865.3,2746.7,2640.8
Botswana,10547,10233.7,9803.2,9502,9310.2,9186.2,9117.7,9092.4,9088,9099.8,9123.4
Burkina Faso,5246,5090.2,4841.4,4605.9,4383,4174.3,3979.2,3797,3629,3474.9,3334.2
Burundi,159,154.3,146.8,139.7,133.1,126.9,121,115.5,110.3,105.5,101
Cameroon,18410,17809.1,16872.1,16020.6,15250,14563.2,13956.8,13427.7,12971.9,12586.9,12270.2
Cape Verde,85,85.5,86.4,87.4,88.6,89.9,91.3,92.8,94.5,96.3,98.3
Central African Republic,22410,22342.8,22236.7,22140.9,22056.3,21985.9,21931.4,21894.5,21879.6,21889.6,21927.6
Chad,10975,10746.1,10377.2,10024.3,9686.8,9368.3,9068.4,8786.7,8525.6,8285,8065
"Congo, Republic of",22306,22239.1,22174.3,22197.1,22319.6,22495,22725.5,23012.6,23345.2,23723.3,24146.1
Côte d'Ivoire,10402,10402,10406.1,10417.4,10436.2,10475.6,10538,10625.8,10744.3,10895.8,11081.6
Djibouti,6,6,6,6,6,6,6,6,6,6.1,6.2
Egypt,75,77,80.6,84.4,88.4,92.6,97,101.6,106.4,111.4,116.6
Equatorial Guinea,1544,1511.8,1461.2,1414.9,1372.5,1336.4,1306,1280.8,1260.8,1245.4,1234
Ethiopia,11344,10973.8,10389.6,9847.2,9344.4,8878.2,8446.6,8047.8,7683.4,7352,7052.3
Gabon,22000,22000,22008.6,22031.4,22068.2,22157.1,22295.6,22480.7,22711,22981.2,23284.9
Gambia,494,500,510.2,520.9,532.2,544.1,556.6,569.8,583.7,598.5,614.2
Ghana,4181,3911.1,3506.3,3154.4,2848.4,2587.4,2365.6,2178.1,2022.8,1895.9,1794.1
Guinea,6301,6207,6057.1,5917.6,5788.7,5673.2,5571.8,5485.5,5414.2,5358.8,5320.2
Guinea-Bissau,1952,1922.9,1876.2,1832.2,1791,1752.9,1718,1686.4,1658.7,1635.1,1615.9
Kenya,3392,3361.6,3317.5,3285.3,3266.5,3259.3,3264.5,3282.7,3310.9,3349,3396.6
Lesotho,44,44.7,45.8,47,48.2,49.5,50.9,52.4,54,55.7,57.5
Liberia,4121,4035.1,3900.9,3781,3677.1,3587.8,3514.1,3457.3,3415.1,3388,3376.4
Libyan Arab Jamahiriya,217,217,216.8,216.2,215.3,214.7,214.5,214.7,215.5,216.8,218.7
Madagascar,12146,11964.7,11673.8,11399.4,11142.1,10900,10673.3,10462.3,10266.8,10087.2,9923.9
Malawi,3011,2921.6,2779.7,2647.1,2523.6,2408.8,2302.6,2204.8,2115.1,2033.3,1959.4
Mali,11951,11737.2,11399,11088.4,10806.4,10554.3,10333.5,10145.6,9986,9855.4,9754.8
Mauritania,208,195.8,177.4,161.5,147.8,136.1,126.1,117.7,110.8,105.2,100.8
Mauritius,35,35,35,35,35,35.1,35.2,35.4,35.7,36,36.4
Morocco,5202,5233.3,5290,5354.5,5427.3,5511.2,5606.7,5714.1,5834,5966.1,6109.6
Mozambique,37589,37028,36126.7,35275.5,34476.3,33727.4,33030.6,32387.9,31804.4,31283.3,30828.3
Niger,1121,1087.7,1034.9,985.5,939.4,896.4,856.5,819.5,785.4,754.1,725.6
Nigeria,6492,5743.7,4710.7,3905.6,3278,2782.7,2391.6,2082.9,1838.4,1645.4,1493.9
Réunion,93,95,98.4,101.9,105.5,109.2,113.1,117.1,121.3,125.6,130.1
Rwanda,510,549.2,621.3,702.7,794.6,898.2,1014.9,1146.2,1293.5,1458.3,1642.3
Sao Tome and Principe,27,27,27,27,27.1,27.2,27.3,27.5,27.7,27.9,28.2
Senegal,8191,8068.7,7874.9,7696.1,7532.3,7384.2,7251.9,7135.5,7037.7,6959,6899.8
Sierra Leone,2592,2537.9,2451.3,2369.6,2292.7,2220.2,2152.1,2088.3,2029.4,1975.4,1926.4
Somalia,6225,6021.8,5700.6,5401.8,5124.7,4867.4,4629.3,4409.8,4208.1,4023.9,3856.8
South Africa,9241,9241,9259.1,9306.7,9382.7,9486.5,9614.7,9762.7,9922,10089.2,10260.4
Sudan,69540,69331.6,69075.7,68982.2,69064.2,69304.4,69711.3,70292.1,71030.6,71929.7,72989.6
Swaziland,593,607.3,632.2,658.5,686.2,715.4,745.9,777.3,809.3,841.4,873
"Tanzania, United Rep of",30675,29583.9,27865.6,26271.5,24793.2,23424.2,22157.2,20985.5,19914.7,18939.1,18053.2
Togo,169,141.3,104.8,77.7,57.6,42.8,31.9,23.9,18,13.6,10.4
Tunisia,1126,1184.4,1287.9,1399,1518,1643.9,1776,1913.4,2055.2,2199.9,2345.5
Uganda,2418,2227.4,1943.9,1698.7,1486.5,1303.2,1144.9,1008,890.2,788.9,701.8
"Congo, Dem Republic of",151970,151060,149555.4,148065.8,146591.1,145131,143685.5,142254.4,140837.5,139434.7,138045.9
Zambia,48347,47913.2,47234,46626.2,46092.1,45647.6,45297.4,45046.2,44910.1,44895,45006.3
Zimbabwe,13452,12660.9,11494.5,10524.4,9733.6,9130.2,8701.4,8431.4,8269,8195.1,8186.5
Africa,642409,633834,620752.8,609318.2,599445.2,590977.1,583854.5,578020.3,573546.2,570389.2,568498.5
Bahamas,515,515,515.3,515.9,516.7,517.6,518.4,519.1,519.7,520.2,520.6
Barbados,8,8,8,8,8,8,8,8,8,8,8
Belize,1325,1297.4,1255.5,1219.7,1189.7,1164.4,1143.5,1126.7,1113.8,1104.5,1098.5
Canada,310134,310134,310210.6,310356.9,310521.5,310678.5,310817.4,310933.3,311032.3,311115,311182.6
Saint Lucia,1,1,1,1,1,1,1,1,1,1,1
Costa Rica,2769,2844.4,2972.7,3103.1,3235,3366.8,3497.6,3626.4,3751.6,3872.2,3987
